source,author,title,description,url,urlToImage,publishedAt,content,coin_tags
"{'id': None, 'name': 'Yahoo Entertainment'}",Bibhu Pattnaik,Forget Dogecoin And Shiba Inu — Crypto Analyst Sees This Coin Surging 100%,"A crypto analyst has forecasted a 100% increase for Pepe (CRYPTO: PEPE), a mid-cap competitor to Dogecoin (CRYPTO: DOGE) and Shiba Inu (CRYPTO: SHIB...",https://finance.yahoo.com/news/forget-dogecoin-shiba-inu-crypto-200209860.html,https://media.zenfs.com/en/benzinga_79/e6e8f4d70363567dcdafaee1d154aca4,2025-04-28T20:02:09Z,"Benzinga and Yahoo Finance LLC may earn commission or revenue on some items through the links below.
A crypto analyst has forecasted a 100% increase for Pepe (CRYPTO: PEPE), a mid-cap competitor to … [+2111 chars]","dogecoin, shiba inu"
"{'id': None, 'name': 'CoinDesk'}",Omkar Godbole,"Shiba Inu Breaks Free From Downtrend as Bitcoin Eyes $100K, Dogecoin Sees Accumulation Around 18 Cents",Check what HUMINT and TECHINT has to say about the price trajectory of BTC and major meme coins.,https://www.coindesk.com/markets/2025/04/25/shiba-inu-breaks-free-from-downtrend-dogecoin-sees-accumulation-around-18-cents,https://cdn.sanity.io/images/s3y3vcno/production/5516ffa9b809126c39612f0ace496ff4562a9989-1500x814.png?auto=format,2025-04-25T13:03:46Z,"Bitcoin's (BTC) recent uptrend has likely set the stage for a six-figure price mark, catalyzing increased trading activity in the memecoin sector, where DOGE and SHIB are seeing bullish activity.
BT… [+2144 chars]","dogecoin, shiba inu"
"{'id': None, 'name': 'CoinDesk'}",AI Boost,Shiba Inu (SHIB) Price Drops 7% in 24 Hours but Remains Up 25% Over the Past Month,Meme token faces significant downward pressure amid shifting economic conditions despite positive developments in US-China trade relations.,https://www.coindesk.com/markets/2025/05/15/shiba-inu-shib-price-drops-7-in-24-hours-but-remains-up-25-over-the-last-month,https://cdn.sanity.io/images/s3y3vcno/production/90a609f871a6913f8a8fab305cd109aa1979b72a-700x430.png?auto=format,2025-05-15T14:58:03Z,"The cryptocurrency market is feeling the effects of shifting global economic conditions as Shiba Inu (SHIB) faces significant downward pressure. 
The meme token's recent price action shows a clear d… [+2058 chars]",shiba inu
"{'id': None, 'name': 'Biztoc.com'}",ambcrypto.com,"3,333,333 SHIB burned in 24 hours – Coincidence or hidden signal?","A significant amount of SHIB was burned in the last 24 hours, decreasing the available supply in the market.
- Buying activity has since surged in the spot market, with U.S. investors adding to the catalyst.
Shiba Inu [SHIB] has remained on the low end despit…",https://biztoc.com/x/b1035e63a1ef6ddd,https://biztoc.com/cdn/b1035e63a1ef6ddd_s.webp,2025-05-19T14:15:58Z,"A significant amount of SHIB was burned in the last 24 hours, decreasing the available supply in the market.- Buying activity has since surged in the spot market, with U.S. investors adding to the ca… [+150 chars]",shiba inu
"{'id': None, 'name': 'Yahoo Entertainment'}",,Can Shiba Inu Reach $1 in 2030?,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_660a8671-36cb-47ef-9a96-febdcc212f9a,,2025-04-29T10:23:00Z,"If you click 'Accept all', we and our partners, including 240 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+702 chars]",shiba inu
"{'id': None, 'name': 'CoinDesk'}",AI Boost,SHIB Spikes Then Reverses Sharply as Whale Activity Turns Bearish,"Shiba Inu’s price swings reveal quick gains and sharp reversals, while on-chain data shows whales reducing exposure, hinting at short-term bearish pressure.",https://www.coindesk.com/markets/2025/05/21/shib-spikes-then-reverses-sharply-as-whale-activity-turns-bearish,https://cdn.sanity.io/images/s3y3vcno/production/2fda00179f2568624e3f6420cd382a9d0d35d508-700x430.png,2025-05-21T08:35:04Z,"Shiba Inu has displayed conflicting market indicators in recent trading sessions. The token initially demonstrated bullish momentum with significant volume support, but this quickly gave way to inten… [+1723 chars]",shiba inu
"{'id': None, 'name': 'Bitcoinist'}",Scott Matherson,Why Is Dogecoin And Shiba Inu Surging Today?,"Dogecoin and Shiba Inu are surging today, providing a bullish outlook for the foremost meme coins, which have traded sideways for a while now. This price surge has come following developments on the macro side, which have provided some form of market clarity.…",https://bitcoinist.com/dogecoin-and-shiba-inu-surging/,https://bitcoinist.com/wp-content/uploads/2025/05/Dogecoin-from-iStock-2.jpg,2025-05-09T04:36:55Z,"Dogecoin and Shiba Inu are surging today, providing a bullish outlook for the foremost meme coins, which have traded sideways for a while now. This price surge has come following developments on the … [+2666 chars]","dogecoin, shiba inu"
"{'id': None, 'name': 'newsBTC'}",Scott Matherson,Analyst Says This Dogecoin And Shiba Inu Contender Could See ‘Impulsive Move’,"Dogecoin and Shiba Inu remain the top leaders when it comes to meme coins, but others have been creeping up as fierce contenders over time. Back in 2021, when the original meme coin bull run started, the likes of FLOKI had crept up from the shadows to also be…",http://www.newsbtc.com/meme-coins/dogecoin-shiba-inu-contender/,https://www.newsbtc.com/wp-content/uploads/2024/08/GVRN4TqXEAAVZm0.jpg?fit=1920%2C1076,2025-05-23T07:00:59Z,"Strict editorial policy that focuses on accuracy, relevance, and impartiality
Created by industry experts and meticulously reviewed
The highest standards in reporting and publishing
Strict editori… [+2632 chars]","dogecoin, shiba inu"
"{'id': None, 'name': 'Bitcoinist'}",Scott Matherson,This Dogecoin Rival Is Set For An Over 100% Pump – It’s Not Shiba Inu,"Crypto analyst The Alchemist has predicted that the Dogecoin rival Baby Doge is set for a price surge of over 100%. The analyst highlighted a bullish pattern for the meme coin, which could spark this price surge while other meme coins like Shiba Inu remain in…",https://bitcoinist.com/dogecoin-rival-100-pump/,https://bitcoinist.com/wp-content/uploads/2025/05/Dogecoin-from-Getty-Images-12.jpg,2025-05-02T04:45:57Z,"Crypto analyst The Alchemist has predicted that the Dogecoin rival Baby Doge is set for a price surge of over 100%. The analyst highlighted a bullish pattern for the meme coin, which could spark this… [+3028 chars]","dogecoin, shiba inu"
"{'id': None, 'name': 'Bitcoinist'}",Scott Matherson,"Shiba Inu Large Transaction Volumes Crash 49% In One Day, Are Whales Leaving?","Shiba Inu whales have been known to make their presence known during major market moves, and the recent price recovery was no different. In the last week, these large investors have been returning to the market in varying degrees to take advantage of the Shib…",https://bitcoinist.com/shiba-inu-large-transaction-49/,https://bitcoinist.com/wp-content/uploads/2024/06/Shiba-Inu-15.webp,2025-05-15T12:00:13Z,"Shiba Inu whales have been known to make their presence known during major market moves, and the recent price recovery was no different. In the last week, these large investors have been returning to… [+2547 chars]",shiba inu
