date,dogecoin,shiba inu,bitcoin,ethereum,isPartial
2024-05-19,2,2,34,11,False
2024-05-26,1,2,29,6,False
2024-06-02,1,2,32,6,False
2024-06-09,1,2,31,5,False
2024-06-16,1,2,30,4,False
2024-06-23,1,2,29,4,False
2024-06-30,1,2,33,4,False
2024-07-07,1,2,34,4,False
2024-07-14,2,2,37,5,False
2024-07-21,1,2,36,6,False
2024-07-28,1,2,34,5,False
2024-08-04,1,2,50,8,False
2024-08-11,1,1,33,4,False
2024-08-18,1,2,32,4,False
2024-08-25,1,2,29,4,False
2024-09-01,1,1,31,4,False
2024-09-08,1,1,29,4,False
2024-09-15,1,1,30,4,False
2024-09-22,1,2,29,4,False
2024-09-29,1,2,26,3,False
2024-10-06,1,2,26,3,False
2024-10-13,1,2,27,3,False
2024-10-20,1,2,26,3,False
2024-10-27,2,2,34,4,False
2024-11-03,4,2,55,6,False
2024-11-10,22,5,100,11,False
2024-11-17,12,4,83,9,False
2024-11-24,9,3,66,9,False
2024-12-01,9,5,75,10,False
2024-12-08,8,3,62,9,False
2024-12-15,7,3,73,9,False
2024-12-22,5,3,56,7,False
2024-12-29,5,2,50,6,False
2025-01-05,5,2,49,6,False
2025-01-12,5,2,50,6,False
2025-01-19,8,2,63,7,False
2025-01-26,4,2,46,6,False
2025-02-02,5,2,49,8,False
2025-02-09,3,2,36,5,False
2025-02-16,3,2,33,5,False
2025-02-23,3,1,53,6,False
2025-03-02,3,1,56,6,False
2025-03-09,3,1,49,6,False
2025-03-16,2,1,38,5,False
2025-03-23,2,1,33,4,False
2025-03-30,2,1,39,4,False
2025-04-06,2,1,48,6,False
2025-04-13,1,1,29,4,False
2025-04-20,2,1,35,4,False
2025-04-27,1,1,30,4,False
2025-05-04,2,1,33,5,False
2025-05-11,2,2,36,6,False
2025-05-18,2,1,41,5,False
2025-05-25,1,1,31,4,True
