date,dogecoin,shiba inu,cardano,bitcoin,isPartial
2024-05-26,1,2,1,30,False
2024-06-02,1,2,1,33,False
2024-06-09,1,2,1,31,False
2024-06-16,1,2,1,29,False
2024-06-23,1,2,1,30,False
2024-06-30,1,2,1,33,False
2024-07-07,1,2,1,33,False
2024-07-14,2,2,1,37,False
2024-07-21,1,2,1,36,False
2024-07-28,1,2,1,35,False
2024-08-04,1,2,1,51,False
2024-08-11,1,1,1,33,False
2024-08-18,1,2,1,31,False
2024-08-25,1,2,1,28,False
2024-09-01,1,1,1,30,False
2024-09-08,1,1,1,28,False
2024-09-15,1,1,1,29,False
2024-09-22,1,2,1,29,False
2024-09-29,1,2,1,28,False
2024-10-06,1,2,1,28,False
2024-10-13,1,2,1,27,False
2024-10-20,1,2,1,27,False
2024-10-27,2,2,1,35,False
2024-11-03,5,2,1,55,False
2024-11-10,22,5,4,100,False
2024-11-17,12,4,5,84,False
2024-11-24,9,3,4,65,False
2024-12-01,10,5,5,76,False
2024-12-08,8,3,3,62,False
2024-12-15,7,3,3,68,False
2024-12-22,5,3,2,56,False
2024-12-29,5,2,2,50,False
2025-01-05,5,2,2,49,False
2025-01-12,6,2,2,51,False
2025-01-19,8,2,2,64,False
2025-01-26,4,2,2,47,False
2025-02-02,5,2,2,50,False
2025-02-09,3,2,2,35,False
2025-02-16,3,2,1,34,False
2025-02-23,3,1,1,54,False
2025-03-02,3,1,3,54,False
2025-03-09,3,1,1,49,False
2025-03-16,2,1,1,37,False
2025-03-23,2,1,1,34,False
2025-03-30,2,1,1,39,False
2025-04-06,2,1,1,48,False
2025-04-13,1,1,1,30,False
2025-04-20,2,1,1,35,False
2025-04-27,1,1,1,30,False
2025-05-04,2,1,1,34,False
2025-05-11,2,2,1,35,False
2025-05-18,2,1,1,41,False
2025-05-25,2,1,1,37,True
