source,author,title,description,url,urlToImage,publishedAt,content,coin_tags
"{'id': None, 'name': 'Yahoo Entertainment'}",Bibhu Pattnaik,Forget Dogecoin And Shiba Inu — Crypto Analyst Sees This Coin Surging 100%,"A crypto analyst has forecasted a 100% increase for Pepe (CRYPTO: PEPE), a mid-cap competitor to Dogecoin (CRYPTO: DOGE) and Shiba Inu (CRYPTO: SHIB...",https://finance.yahoo.com/news/forget-dogecoin-shiba-inu-crypto-200209860.html,https://media.zenfs.com/en/benzinga_79/e6e8f4d70363567dcdafaee1d154aca4,2025-04-28T20:02:09Z,"Benzinga and Yahoo Finance LLC may earn commission or revenue on some items through the links below.
A crypto analyst has forecasted a 100% increase for Pepe (CRYPTO: PEPE), a mid-cap competitor to … [+2111 chars]","dogecoin, shiba inu"
"{'id': None, 'name': 'CoinDesk'}",Omkar Godbole,"Shiba Inu Breaks Free From Downtrend as Bitcoin Eyes $100K, Dogecoin Sees Accumulation Around 18 Cents",Check what HUMINT and TECHINT has to say about the price trajectory of BTC and major meme coins.,https://www.coindesk.com/markets/2025/04/25/shiba-inu-breaks-free-from-downtrend-dogecoin-sees-accumulation-around-18-cents,https://cdn.sanity.io/images/s3y3vcno/production/5516ffa9b809126c39612f0ace496ff4562a9989-1500x814.png?auto=format,2025-04-25T13:03:46Z,"Bitcoin's (BTC) recent uptrend has likely set the stage for a six-figure price mark, catalyzing increased trading activity in the memecoin sector, where DOGE and SHIB are seeing bullish activity.
BT… [+2144 chars]","dogecoin, shiba inu"
"{'id': None, 'name': 'CoinDesk'}",AI Boost,Shiba Inu (SHIB) Price Drops 7% in 24 Hours but Remains Up 25% Over the Past Month,Meme token faces significant downward pressure amid shifting economic conditions despite positive developments in US-China trade relations.,https://www.coindesk.com/markets/2025/05/15/shiba-inu-shib-price-drops-7-in-24-hours-but-remains-up-25-over-the-last-month,https://cdn.sanity.io/images/s3y3vcno/production/90a609f871a6913f8a8fab305cd109aa1979b72a-700x430.png?auto=format,2025-05-15T14:58:03Z,"The cryptocurrency market is feeling the effects of shifting global economic conditions as Shiba Inu (SHIB) faces significant downward pressure. 
The meme token's recent price action shows a clear d… [+2058 chars]",shiba inu
"{'id': None, 'name': 'Biztoc.com'}",ambcrypto.com,"3,333,333 SHIB burned in 24 hours – Coincidence or hidden signal?","A significant amount of SHIB was burned in the last 24 hours, decreasing the available supply in the market.
- Buying activity has since surged in the spot market, with U.S. investors adding to the catalyst.
Shiba Inu [SHIB] has remained on the low end despit…",https://biztoc.com/x/b1035e63a1ef6ddd,https://biztoc.com/cdn/b1035e63a1ef6ddd_s.webp,2025-05-19T14:15:58Z,"A significant amount of SHIB was burned in the last 24 hours, decreasing the available supply in the market.- Buying activity has since surged in the spot market, with U.S. investors adding to the ca… [+150 chars]",shiba inu
"{'id': None, 'name': 'Yahoo Entertainment'}",Khyathi Dalal,"Bitcoin, Ethereum, XRP, Dogecoin Grind Up On Tuesday As Traders Hope For 'Red Monday, Green Week'","The crypto market opened the week with volatility but is showing signs of strength, as Bitcoin rebounded to touch $105,000. Institutional adoption continues ...",https://finance.yahoo.com/news/bitcoin-ethereum-xrp-dogecoin-grind-180116957.html,https://media.zenfs.com/en/benzinga_79/f96605110159f4c82953a97a2ebfeb7f,2025-05-21T18:01:16Z,"Benzinga and Yahoo Finance LLC may earn commission or revenue on some items through the links below.
The crypto market opened the week with volatility but is showing signs of strength, as Bitcoin re… [+2376 chars]",dogecoin
"{'id': None, 'name': 'CoinDesk'}",Oliver Knight,Trump Family Profited $320M on Memecoin Despite 87% Decline Since Day One,Data from Chainalysis show the creators of the TRUMP token made $320 million in fees while retail investors lost money.,https://www.coindesk.com/business/2025/05/09/trump-family-profited-usd320m-on-memecoin-despite-87-decline-since-day-one,https://cdn.sanity.io/images/s3y3vcno/production/def0d98b21aeaaed3c0847566a33f7c63142d271-4032x3024.jpg?auto=format,2025-05-09T16:42:31Z,"U.S. President Donald Trump has come a long way since he said the value of crypto was based on thin air in 2019. So much so that he is now one of the sectors largest proponents, foraying into memecoi… [+4704 chars]",memecoin
"{'id': None, 'name': 'Yahoo Entertainment'}",,Can Shiba Inu Reach $1 in 2030?,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_660a8671-36cb-47ef-9a96-febdcc212f9a,,2025-04-29T10:23:00Z,"If you click 'Accept all', we and our partners, including 240 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+702 chars]",shiba inu
"{'id': None, 'name': 'CoinDesk'}",AI Boost,SHIB Slides 5% but Finds Support as Loyal Holders Hold Their Ground,"SHIB dropped 5% on high volume but found support near $0.00001440. With over 1.13M loyal holders and ecosystem updates ahead, long-term sentiment stays firm.",https://www.coindesk.com/markets/2025/05/24/shib-slides-5-but-finds-support-as-loyal-holders-hold-their-ground,https://cdn.sanity.io/images/s3y3vcno/production/6d04d6d08e919db20ae44bbb9a65f3f26cba84db-700x430.png,2025-05-24T15:31:44Z,"Shiba Inu (SHIB) has stabilized following significant price volatility, establishing a consolidation pattern between $0.00001440 and $0.00001456. 
The meme token faced intense selling pressure with … [+2121 chars]",other
"{'id': None, 'name': 'Yahoo Entertainment'}",Khyathi Dalal,"Bitcoin, Ethereum, XRP, Dogecoin Open Green As China Announces Liquidity Injection Ahead Of Fed Interest Rate Decision","Major cryptocurrencies are seeing a green start to the week, buoyed by improving macro sentiment as markets await today's FOMC decision and ongoing U.S...",https://finance.yahoo.com/news/bitcoin-ethereum-xrp-dogecoin-open-204350151.html,https://media.zenfs.com/en/benzinga_79/c54815fabd9b2d70f8350c6a92cd96d6,2025-05-07T20:43:50Z,"Benzinga and Yahoo Finance LLC may earn commission or revenue on some items through the links below.
Major cryptocurrencies are seeing a green start to the week, buoyed by improving macro sentiment … [+3432 chars]",dogecoin
"{'id': None, 'name': 'CoinDesk'}",AI Boost,SHIB Spikes Then Reverses Sharply as Whale Activity Turns Bearish,"Shiba Inu’s price swings reveal quick gains and sharp reversals, while on-chain data shows whales reducing exposure, hinting at short-term bearish pressure.",https://www.coindesk.com/markets/2025/05/21/shib-spikes-then-reverses-sharply-as-whale-activity-turns-bearish,https://cdn.sanity.io/images/s3y3vcno/production/2fda00179f2568624e3f6420cd382a9d0d35d508-700x430.png,2025-05-21T08:35:04Z,"Shiba Inu has displayed conflicting market indicators in recent trading sessions. The token initially demonstrated bullish momentum with significant volume support, but this quickly gave way to inten… [+1723 chars]",shiba inu
